id,name,type,league
Ab,Abelardo,1,3
AB,Athletic Bilbao,2,3
ALA,Deportivo Alvaves,2,3
CDL,CD Leganes,2,3
CV,Celta Vigo,2,3
EC,Eduardo Coudet,1,3
FCBa,FC Barcelona,2,3
FCE,FC Elche,2,3
FE,Fran Escriba,1,3
GGa,Gaizka Garitano,1,3
JA,Jorge Almiron,1,3
JAg,Javier Aguirre,1,3
JaC,Javier Calleja,1,3
JG,Javi Gracia,1,3
JMu,Juan Muniz,1,3
JLMa,Josep Lluis Marti,1,3
LG,Luis Garcia,1,3
Ma,Marcellino,1,3
Mi,Michel,1,3
OGa,Oscar Garcia,1,3
Pa,Pacheta,1,3
PMa,Pablo Machin,1,3
QS,Quique Setien,1,3
RCDM,RCD Mallorca,2,3
RK,Ronald Koeman,1,3
SDH,SD Huesca,2,3
UM,Unai Emery,1,3
VCF,Valencia CF,2,3
ViCF,Villarreal CF,2,3
VM,Vicente Moreno,1,3
Vo,Voro,1,3
